b356s0457		239333
b34s156		237427
b378s02458		158600
b3567s034		238287
b3478s0278		199576
b38s0245		27400
b3468s168		234874
b3678s05678	?	241904
b367s13568	*	242514
b378s125		244023
b38s2378	L	245148
b356s24		10344
b38s125	*	245047
b35678s0147		237677
b358s0145		26408
b348s0178	*	236668
b35s0347		241357
b358s0347		78632
b36s01368		243290
b38s1256	H	245043
b37s0135	*	22152
b38s02456	*?	60168
b3578s128		134568
b38s24578	G	245156
b345678s013678		235512
b38s0137		244829
b378s245		27016
b367s2458		157896
b3478s267		235961
b357s14578		222376
b3478s1567		116120
b3578s024		239791
b368s24578	G	223560
b346s278		235452
b347s0378	*	201368
b367s03467		242377
b348s26		236987
b3678s2378	LE	203208
b358s024		11048
b3567s128	F	134376
b3s1356		54280
b346s038		135768
b3468s0124678	GF	241496
b38s12568	G	183560
b3578s136	F	38312
b3568s1467	F	107880
b34678s28	F	133592
b368s238	LV	137544
b347s017	F	67224
b367s2457		242597
b3678s13567	Gepp	242001
b356s0348		143976
b358s02478		240812
b378s1258		244022
b3578s126	*G	239931
b3468s02		2904
b35s1358	Sl	241494
b3678s0134678		243656
b35s01458	M	157224
b357s02567		240305
b3467s02		2776
b368s024578	GSl	224072
b3568s23	LE	239007
b36s238	LV	137288
b356s1278		239420
b367s23	LE	6344
b3467s028	F	234174
b367s01367		104136
b3678s23	*LE	6600
b358s3478	*Gs	241100
b3478s268		235962
b3678s3467	Sched	242121
b347s36		236507
b3458s2	F	2360
b346s03		235231
b368s2457	*Gs	243109
b367s03468	GF	176840
b346s378		235484
b3567s248		238510
b378s024578		224136
b3567s02578	F	238260
b347s367	F	236505
b345s18		233342
b36s13567	*	243537
b347s0278	F	236220
