TCAid	B_S_alias	comments
239333	b3568s346	
237427	b34s045	
158600	b378s02458	
238287	b3568s23	
199576	b3478s0278	
27400	b38s0245	
234874	b3467s05	
241904	b4567s34678	
242514	b36s0245	
244023	b37s014	
245148	b37s126	L
10344	b356s24	
245047	b37s014	
237677	b35678s036	
26408	b358s0145	
236668	b3478s06	
241357	b358s236	
78632	b358s0347	
243290	b368s025	
245043	b37s0145	H
22152	b37s0135	
60168	b38s02456	
134568	b3578s128	
245156	b37s1346	G
235512	b345678s013678	
244829	b378s026	
27016	b378s245	
157896	b367s2458	
235961	b347s156	
222376	b357s14578	
116120	b3478s1567	
239791	b3578s13	
223560	b368s24578	G
235452	b346s16	
201368	b347s0378	
242377	b368s2356	
236987	b347s15	
203208	b3678s2378	LE
11048	b358s024	
134376	b3567s128	F
54280	b3s1356	
135768	b346s038	
241496	b35s13678	GF
183560	b38s12568	G
38312	b3578s136	F
107880	b3568s1467	F
133592	b34678s28	F
137544	b368s238	LV
67224	b347s017	F
242597	b36s1346	
242001	b367s02456	Gepp
143976	b356s0348	
240812	b3578s136	
244022	b37s014	
239931	b357s015	G
2904	b3468s02	
241494	b35s024	Sl
243656	b3678s0134678	
157224	b35s01458	M
240305	b358s1456	
2776	b3467s02	
224072	b368s024578	GSl
239007	b3567s12	LE
137288	b36s238	LV
239420	b356s016	
6344	b367s23	LE
234174	b3468s1	F
104136	b367s01367	
6600	b3678s23	LE
241100	b357s236	Gs
235962	b347s15	
242121	b367s2356	Sched
236507	b34s25	
2360	b3458s2	F
235231	b3468s2	
243109	b367s1346	Gs
176840	b367s03468	GF
235484	b346s26	
238510	b356s13	
224136	b378s024578	
238260	b3568s146	F
236505	b34s256	F
233342	b345s0	
243537	b36s02456	
236220	b348s16	F
