38fb8443632a08ecc7b8173a73	Typical	b01c2c3i2e3n4ari5i3q4nyz5qke6e8s01c2c3i2ek3re4ri2n3c4nw5a3y4yq5n4z5q6a4e6kn7c4c5e6e7e8
3ee798135ded95feb931987abd	MTypical	B01e2-ek3aciny4acijknq5-cejk6kn7e8/S012kn3-ijnr4-eiqr5aeijq6-c78
3afa7ac3c7a7414b81c6fc68e7	Typicalfreezing	b01ce3i2e3a4a3re4nw5a3y4t5n4z5r6kn7c5e6e7e8s1ce2e3a2k3nj4a2i3rec4w3y4kyq5j4z5rq6a4e5c6c5k7c4c5e6e7e8
3fb7d9f5f4f7a186fe17c12a2d	Typical	b01e2a3in4a2i3re4i2n3cq4n5a3y5j4j5n4z5r6a4e5y6ckn4c6ei7e8s1c2c3j4ari5i2n5a3yk4k5j4j5n4z5rq4e5cyk6kn7c4c6ei7e8
031e79b9ea1291038b7f4405fb	Typical	B01c2-n3-cknq4-aekty5aceiy67/S2ei3ej4qrtz5-aej7c
164814390213d3762f331dad7f	Typical	b01ce2ac3i2ek3j4a2i3r4i5i3c5a3yk4qtj5n4z6a5cy6c5k6n5e7e8s1c2ace3a2k3e4ri5i2n3q4nwq5qe6i
1ff2bc7cc13d268fd438c5d6f4	GTTypical	B1e2cen3-cery4eiknrw5-e678/S01e2-ik3cjy4aceiyz5aer6eik7
3e4f84a3f6faf0e4c3ccc56a92	SparkyTypical	B1c2c3aenq4acjnqrtz5ejkq6ac7e8/S12cein3ejkry4ajknqrwz5-iky6aikn78
038c5829d165d0cb4e72ffeb7b	GETypical	b01c2ac3i2ek3n4a3r4i5i3q4w5a4qtj5nrc6ckn4c5e6i7es1ce2ac3i2e3a2k3nj4a2i4ri5i3c4w5a3yk4yjz5rqk6e
0fb40dc10364d00c119cff257f	LTypical	b01ce2ac3i2ek3je4ri2n4qtj5rk6k4c6ei7es1c2c3i2e3a2k3nj4a3re2n3cyk4yq5q4e5cy4c6ei7e
25fef952f76f64eb2f4b28788c	TypicalTransform	B1e2ai3acr4ackrtwz5-cik6eikn7c/S012i3acekny4-akt5-cq6aeik7c8
045d008473a91cce395c712f8f	Sparky	b01ce2a3a2k3nj4a3e4ri2n3c5a4kyq5nq4ec5e6es1c2ck3nj2i3e5i2n3c4w5a3y4kyqj5n4z5c6n5e6i
3195f7fe3a790516eb8fce1628	PGETypical	B2ai3-ak4ceknr5acknqy6-k7c8/S02en3-cn4aejqrt5cikny6-i8
0631078c5a7f9128cd0d99776f	G	b01ce2a3i2ek3nj2i3e4r3q4n3y4qj5n4z5rq6a4e5ck6e7es01ce2c3a2k4a3e4i5i3c4n3yk4qtjz5cy6cn4c6i
